ФИО лица выдавшего Поручение,Дата Поручения,Номер Поручения,Досудебное урегулирование,Дата Претензии/Уведомления,Номер Претензии/Уведомления,Номер Дела,Исполнитель от Юридического отдела (ФИО),Дата Иска,Иск - Входящий/Исходящий,Истец,Ответчик,Третьи лица,Исковое требование,Предмет Искового требования,Основной долг (Сумма Иска предъявленного Москомнаследием),Пени (Пени Иска предъявленного Москомнаследием),Комментарий,Инстанция,Дата судебного заседания,Время судебного заседания,Результат рассмотрения судебного заседания,Вид Решения Суда,Дата решения Суда,Основной долг (По решению суда),Пени (По решению суда),Примечание,Идентификатор,Аппеляционная инстанция,Кассационная инстанция,Номер Исполнительного листа,Дата поступления Исполнительного листа,Дата направления Исполнительного листа,Отдел службы судебных приставов,Комментарий к исполнительному производству,Дата исполнения решения,Результат исполнения,key,link
,,,,,,"А40-2148/07-77-27","Титова А.В.","02/12/07 00:00:00","Исходящий","Москомнаследие","Иститут Латинской Америки","ДИгМ, ФАУФИ","Взыскать","Взыскание задолженности по арендной плате 3.940.242.руб. 88 коп. и пени 21.201.768 руб. 63 коп.",3940242.8800,21201768.6300,"Решение взыскать Всего: 2.065.811руб. 82 коп.Апелляция .Кассация. Приостановлено.Ходатайство о возобновлении производства (31.10.08). Определением от 20.11.2008 производство по кассационной жалобе возобновлено.",,"11/20/08 00:00:00","11:00:00","взыскать 2 065 811, 82 руб. (решение отменено)","Взыскать","04/23/07 00:00:00",1878010.7500,187801.0700,,,"Решение отменить. В иске отказать (04.09.07)","Постановление II инстанции в силе (24.11.2008)",,,,,,,,268,3468
"Шевчук В.А.","05/14/08 00:00:00",,"Претензия","05/22/08 00:00:00","№16-02-2952/7-2","А40-40653/08-28-343","Гавриленко Б.Б.","07/07/08 00:00:00","Исходящий","Москомнаследие","ООО Внешнеэкономическое объединение ""Стройдормашэкспорт""",,"Расторгнуть, выселить","Расторжение договора аренды и выселение",0.0000,0.0000,"Направлена повторная претензия от 29.05.2007 № 16-02-2952/7-1 (Ежова Ю.С);  и   Уведомление о расторжении от 22.06.2007 №16-03-1729/7. Апелляция.",,"03/23/09 00:00:00","14:00:00","решение в силе:в иске отказано","Отказ в Исковых требованиях","01/13/09 00:00:00",0.0000,0.0000,,,"Решение в силе (25.03.09)",,,,,,,,,269,3522
"Мэр Москвы","08/03/06 00:00:00","№4-19-14428/6","Уведомление","10/18/07 00:00:00","№ 16-03-301/7-4, №16-03-301/7 (14.02.2007)",,"Селиванова Е.А.",,,,"Сберегательный банк РФ",,,,0.0000,0.0000,,,,,,,,0.0000,0.0000,,,,,,,,,,,,270,3522
"Мэр Москвы","08/03/06 00:00:00","№4-19-14428/6","Уведомление","02/14/07 00:00:00","№16-03-302/7, №16-02-45/7-14 (от 12.09.07)",,"Селиванова Е.А.",,,,"ЗАО ""Компания Камбио""",,,,0.0000,0.0000,,,,,,,,0.0000,0.0000,,,,,,,,,,,,271,3522
,,,"Претензия","02/06/07 00:00:00","№16-03-216/7",,"Решетникова О.А.",,,,,,,,0.0000,0.0000,,,,,,,,0.0000,0.0000,,,,,,,,,,,,272,3523
,,,"Претензия","02/06/07 00:00:00","№16-03-217/7",,"Решетникова О.А.",,,,,,,,0.0000,0.0000,,,,,,,,0.0000,0.0000,,,,,,,,,,,,273,3523
"Шевчук В.А.","05/15/07 00:00:00",,"Претензия","02/06/07 00:00:00","№16-03-218/7","А40-30657/07-77-261","Титова А.В.","06/14/07 00:00:00","Исходящий","Москомнаследие","ЗАО ""С+Т""",,"Расторгнуть, выселить","о расторжении и выселении",0.0000,0.0000,"Апелляция. Кассация. Постановление судебного пристава-исполнителя 1-го м/р ОСП (Азаренков Д.Г.) от 25.08.2008 № 18196/47/2008 о возбуждении исполнительного производства. Постановление об окончании исполнительного производства 24.06.2009.",,"02/29/08 00:00:00","12:00:00","решение в силе:расторгнуть, выселить","Расторгнуть, выселить","09/03/07 00:00:00",0.0000,0.0000,,,"Решение в силе (28.11.07)","Решение в силе (07.03.08)",,,,,,,,274,3524
,,,"Претензия","02/01/07 00:00:00","№16-03-175/7","А40-33874/07-77-298","Титова А.В.","07/05/07 00:00:00","Исходящий","Москомнаследие","ООО ""Общество по возраждению традиций П.А. Смирнова""",,"Расторгнуть, выселить","о расторжении охранно-арендного договора и выселении",0.0000,0.0000,"Апелляция. Кассация",,"07/15/08 00:00:00","15:30:00","решение в силе: в иске отказано","Отказ в Исковых требованиях","01/10/08 00:00:00",0.0000,0.0000,,,"Решение в силе (14.04.08)","Решение в силе (22.07.08)",,,,,,,,275,3483
"Шевчук В.А.",,,"Претензия","02/06/07 00:00:00","№16-03-219/7",,"Спиридонов А.А.",,,,"МССО ""Международный фонд защиты от дискриминации, за соблюдение конституционных основных прав и основных свобод человека""",,,,0.0000,0.0000,"Направлена повторная претензия 30.03.2007. иск не подавался по распоряжению Председателя от 03.09.2007.",,,,,,,0.0000,0.0000,,,,,,,,,,,,276,3525
,,,"Претензия","02/06/07 00:00:00","№16-03-223/7",,"Селиванова Е.А.",,,,"ООО ""Бизнес Строй""",,,,0.0000,0.0000,"Отложена подача иска до конца 2007 года (нет оснований)",,,,,,,0.0000,0.0000,,,,,,,,,,,,277,3526
,,,"Претензия","02/16/07 00:00:00","16-03-339/7",,"Селиванова Е.А.",,,,"Всероссийский научно-исследовательский и проектно-конструкторский институт экономики, информации и автоматизированных систем управления рыбным хозяйством (ВНИЭХР)",,,,0.0000,0.0000,,,,,,,,0.0000,0.0000,,,,,,,,,,,,278,3527
"Шевчук В.А.",,,"Претензия","02/06/07 00:00:00","№16-03-222/7",,"Селиванова Е.А.",,,,"ЗАО ""Проминкотекс""",,,,0.0000,0.0000,"Направлена дополнительная претензия от 04.04.2007 № 16-03-839/7  (Будут привлекаться адвокаты)",,,,,,,0.0000,0.0000,,,,,,,,,,,,279,3528
"Шевчук В.А.",,,"Претензия","10/18/07 00:00:00","№ № 16-02-139/7-1,  16-03-221/7 (06.02.2007)",,"Селиванова Е.А.",,,,"ЗАО ""Кантар""",,,,0.0000,0.0000,"Направлена дополнительная претензия от 04.04.2007 №16-03-838/7  (Будут привлекаться адвокаты)",,,,,,,0.0000,0.0000,,,,,,,,,,,,280,3528
,,,"Претензия","02/06/07 00:00:00","№16-03-220/7","А40-33673/07-91-301","Титова А.В.","07/05/07 00:00:00","Исходящий","Москомнаследие","Общественный фонд ""Международный художественный фонд"", ООО ""Квадрат плюс""",,"Иное...","Признание недействительным дополнительного соглашения к договору субаренды",0.0000,0.0000,"кассация.",,"04/07/08 00:00:00","10:00:00","решение в силе: в иске отказано","Иное...","12/27/07 00:00:00",0.0000,0.0000,,,,"Решение в силе (14.04.08)",,,,,,,,281,3529
,,,"Претензия","02/09/07 00:00:00","№16-03-268/7",,"Титова А.В.",,,,"ООО ""Империал""",,,,0.0000,0.0000,"Иск не подан, ждем распоряжения Председателя комитета",,,,,,,0.0000,0.0000,,,,,,,,,,,,282,3395
,,,"Претензия","02/09/07 00:00:00","№16-03-266/7",,"Титова А.В.",,,,"ООО ""Ингеоклуб""",,,,0.0000,0.0000,"Нарушения устранены (иск не подавался)",,,,,,,0.0000,0.0000,,,,,,,,,,,,283,3530
,,,"Уведомление","02/09/07 00:00:00","№16-02-521/7-1",,"Титова А.В.",,,,"ЗАО ""Редакция издательства ""Театральная афиша""",,,"Иск не подавался (Выселение не требуется организация помещение не занимает)",0.0000,0.0000,,,,,,,,0.0000,0.0000,,,,,,,,,,,,284,3531
,,,"Уведомление","02/09/07 00:00:00","№16-03-270/7",,"Титова А.В.",,,,"ООО ""Лоцман ХХI"" век",,,,0.0000,0.0000,"Помещение освободили добровольно",,,,,,,0.0000,0.0000,,,,,,,,,,,,285,3532
,,,"Претензия","02/14/07 00:00:00","№16-03-306/7,   16-03-305/7-3",,"Гавриленко Б.Б.","08/21/07 00:00:00","Исходящий","Москомнаследие","ЗАО ""Информационные технологии управления ВНИИТ"" стр.2",,,,0.0000,0.0000,"Направлена повторная претензия о непродлении субаренды                  от 18.04.2007 №16-03-305/7-/3    Иск не подавался в связи с передачей в собственность РФ",,,,,,,0.0000,0.0000,,,,,,,,,,,,286,3533
"Шевчук В.А.","03/30/07 00:00:00","№16-99-440/7-1","Претензия","05/11/07 00:00:00","№16-03-1180/7","А40-31441/07-77-269","Спиридонов А.А.","06/27/07 00:00:00","Исходящий","Москомнаследие","ООО ""Центр технологических услуг""",,"Расторгнуть, выселить","Расторжение охранно-арендного договора и выселение",0.0000,0.0000,,,"10/04/07 00:00:00","15:00:00","Мировое соглашение",,,0.0000,0.0000,,,,,,,,,,,,287,3534
,,,"Претензия","02/14/07 00:00:00","№16-03-304/7",,"Селиванова Е.А.",,,,"""Московская галерея современного искусства""",,,,0.0000,0.0000,"Иск не подавался в связи с перезаключением договора.",,,,,,,0.0000,0.0000,,,,,,,,,,,,288,3535
,,,"Претензия","02/19/07 00:00:00","№16-03-343/7","№ А40-38489/07-11-372","Рутто Д.Р.","07/26/07 00:00:00","Исходящий","Москомнаследие","ОАО ""Аварийно-производственная служба ""Замоскворечье""",,"Расторгнуть, выселить","расторжение охранно-арендного договора и выселение",0.0000,0.0000,,,"10/22/07 00:00:00","9:45:00","в иске отказать","Отказ в Исковых требованиях","10/25/07 00:00:00",0.0000,0.0000,,,,,,,,,,,,289,3536
,,,"Претензия","02/19/07 00:00:00","№16-03-345/7","№ А40-40721/07-60-253","Спиридонов А.А.","08/07/07 00:00:00","Исходящий","Москомнаследие","ОАО ""Культурный центр ""Красные холмы""",,"Расторгнуть, выселить","Расторжение охранно-арендного договора и выселение и",0.0000,0.0000,,,"10/30/07 00:00:00","10:15:00","Мировое соглашение.",,,0.0000,0.0000,,,,,,,,,,,,290,3537
,,,"Претензия","02/19/07 00:00:00","№16-03-344/7",,"Рутто Д.Р.",,,,"ГУП ""Научно-производственный центр экологических проблем ""Экогеоцентр""",,,,0.0000,0.0000,,,,,,,,0.0000,0.0000,,,,,,,,,,,,291,3537
,,,"Претензия","05/29/07 00:00:00","№16-03-1592/7","А40-52560/07-89-349","Рутто Д.Р.","09/24/07 00:00:00","Исходящий","Москомнаследие","ЗАО ""АЮРВЕДА""",,"Выселить","Выселение",0.0000,0.0000,"Поручение о пролонгации договора. Отказ от иска (12.12.2007)",,"11/14/07 00:00:00","10:30:00","отказ от иска","Иное...",,0.0000,0.0000,,,,,,,,,,,,292,3537
,"03/02/09 00:00:00","16-03-345/7-(3)",,,,"А40-26455/09-53-166","Рутто Д.Р.","03/02/09 00:00:00","Исходящий","Москомнаследие","ЗАО ""АЮРВЕДА""",,"Взыскать","взыскание задолженности по арендной плате 529 807,00 руб., пени 675 945,69 руб.,  всего 1 205 752,69 руб.",529807.0000,675945.6900,"Апелляция. 05.08.09 получен Исполнительный лист № 763162 от 22.07.2009. Кассация. 21.10.2009 постановление о возбуждении исполнительного производства.",,"07/20/09 00:00:00","15:30:00","иск удовлетворен. Взыскано 529 807,00 руб. - основного долга, 100000,00 руб. - пени.","Взыскать","05/22/09 00:00:00",529807.0000,100000.0000,,,"Решение в силе (22.07.2009)","Решение в силе (29.10.2009)",,,,,,,,293,3537
,,,"Претензия","02/19/07 00:00:00","№16-03-346/7",,"Селиванова Е.А.",,,,"ЗАО ""М-ТехноСвязь""",,,,0.0000,0.0000,"Иск в процессе подготовки",,,,,,,0.0000,0.0000,,,,,,,,,,,,294,3538
,,,"Претензия","02/21/07 00:00:00","№16-03-1097/7",,"Селиванова Е.А.",,,,"ЗАО ""Постоялый двор""",,,,0.0000,0.0000,,,,,,,,0.0000,0.0000,,,,,,,,,,,,295,3538
,,,"Претензия","02/22/07 00:00:00","№16-03-363/7",,"Селиванова Е.А.",,,,"ООО Фирма ""Лемекс"" стр.5",,,,0.0000,0.0000,,,,,,,,0.0000,0.0000,,,,,,,,,,,,296,3533
,,,"Претензия","03/06/07 00:00:00","№16-03-429/7","А40-11015/09-3-123","Меркулова Т.В.","02/03/09 00:00:00","Исходящий","Москомнаследие","ООО ""Майский жук""",,"Взыскать","выселение и взыскание 374 870,04 руб.: задолженность по арендной плате 300 602,60 руб.; пени 24 267,44 руб.; штраф 50 000,00 руб.",300602.6000,74267.4400,"Апелляция. 05.08.2009 получен Исполнительный лист № 755247 от 27.07.2009 о взыскании; АС № 001152019 от 17.09.2009 о выселении. 23.10.2009 постановление о возбуждении исполнительного производства (по взысканию). Определением АС от 15.02.2010 отказано в отсрочке исполнительных действий по исполнению решения. Определение АС от 05.04.2010 об исправлении опечатки.",,"02/15/10 00:00:00","14:00:00","иск удовлетворен. Выселить, взыскать задолженность по арендной плате 300 602,60 руб., неустойку 24 267,44 руб., штраф 50 000 руб.","Взыскать","04/20/09 00:00:00",300602.6000,74267.4400,,,"Решение в силе (25.06.2009)",,,,,,,,,297,3536
,,,"Претензия","02/22/07 00:00:00","№16-03-383/7",,"Спиридонов А.А.",,,,"ГОУ высшего профессионального образования ""Московский государственный университет технологий и управления""",,,"(д.13/7 стр.2)",0.0000,0.0000,"Иск не подавался в связи с принятием решения о пролонгации договора на 3 года.",,,,,,,0.0000,0.0000,,,,,,,,,,,,298,3539
,,,"Претензия","02/22/07 00:00:00","№16-03-383/7",,"Селиванова Е.А.",,,,"ООО «Финэкономсервис»",,,,0.0000,0.0000,"Иск неподавался в связи с бесперспективностью.",,,,,,,0.0000,0.0000,,,,,,,,,,,,299,3448
,,,"Претензия","02/22/07 00:00:00","№16-03-381/7",,"Селиванова Е.А.",,,,"Некоммерческая организация ""Учреждение культуры - Центр ""Содружество""",,,,0.0000,0.0000,,,,,,,,0.0000,0.0000,,,,,,,,,,,,300,3448
,,,"Претензия","02/22/07 00:00:00","№16-03-379/7",,"Селиванова Е.А.",,,,"ООО ""Волга-И"" стр.3",,,,0.0000,0.0000,,,,,,,,0.0000,0.0000,,,,,,,,,,,,301,3538
,,,"Претензия","02/22/07 00:00:00","№16-03-385/7",,"Селиванова Е.А.",,,,"АООТ ""Мосзагранэнергооргстрой""",,,,0.0000,0.0000,,,,,,,,0.0000,0.0000,,,,,,,,,,,,302,3540
,,,"Претензия","02/22/07 00:00:00","№16-03-385/7",,"Селиванова Е.А.",,,,"Межрегиональная общественная организация - Межрегиональный Профсоюз предпринимателей",,,,0.0000,0.0000,,,,,,,,0.0000,0.0000,,,,,,,,,,,,303,3448
,,,"Претензия","02/22/07 00:00:00","№16-03-384/7",,"Титова А.В.",,,,"ЗАО ""Бурда Моден""",,,,0.0000,0.0000,,,,,,,,0.0000,0.0000,,,,,,,,,,,,304,3476
,,,"Уведомление","03/07/07 00:00:00","16-03-443/7","№ А40-40723/07-64-334","Плотникова А.В.","08/07/07 00:00:00","Исходящий","Москомнаследие","ЗАО ""Мобильное специализированное строительно-монтажное управление № 80 ""Союзантисептик""","ФАУФИ, ФГУК ""АУИПИК""","Выселить","Выселение",0.0000,0.0000,"Встречный иск ответчика о понуждении заключить договор аренды. Приостановлено до вступления силу решения о собственности на данное здание. Определением от 10.11.2008 производство по делу возобновлено. Апелляция. Исполнительный листот 03.04.09 № 733562. Постановление от 20.04.2009 о возбуждении исполнительного производства.",,"02/25/09 00:00:00","11:30:00","решение о выселении","Выселить","12/22/08 00:00:00",0.0000,0.0000,"Исполнительный листот 03.04.09 № 733562. Постановление № 02/35901/108/69/2009 от 20.04.2009 о возбуждении исполнительного производства.",,"Решение в силе (27.02.2009)",,,,,,,,,305,3541
"Шевчук В.А.","05/18/07 00:00:00",,"Претензия","06/19/07 00:00:00","№16-03-1700/7","А40-67189/07-63-539","Рутто Д.Р.","12/10/07 00:00:00","Исходящий","Москомнаследие","ООО ""Центр культурных инноваций - 2000""",,"Расторгнуть, выселить","Расторжение договора и выселение",0.0000,0.0000,,,"03/11/08 00:00:00","16:30:00","В иске отказано","Отказ в Исковых требованиях","03/18/08 00:00:00",0.0000,0.0000,,,,,,,,,,,,306,3542
,"05/18/07 00:00:00",,"Претензия","06/19/07 00:00:00","№16-03-1701/7",,"Рутто Д.Р.",,,,"ЗАО ""МРСУ"" №5",,,,0.0000,0.0000,,,,,,,,0.0000,0.0000,,,,,,,,,,,,307,3543
,"04/25/07 00:00:00",,"Претензия","05/11/07 00:00:00","№16-03-1179/7","А40-33875/07-77-296","Спиридонов А.А.","07/05/07 00:00:00","Исходящий","Москомнаследие","ООО ""ЭлитНедвижимость""",,"Расторгнуть, выселить","О расторжении договора",0.0000,0.0000,"Апелляция.Мировое соглашение.",,"12/17/07 00:00:00","15:30:00","мировое соглашение","Расторгнуть","10/10/07 00:00:00",0.0000,0.0000,,,"Мировое соглашение (18.12.07)",,,,,,,,,308,3544
,"04/11/07 00:00:00",,"Претензия","04/18/07 00:00:00","№16-03-132/7-(3)",,"Спиридонов А.А.",,,,"ЗАО ""Тентоинвест""",,,,0.0000,0.0000,"Иск не подавался в связи с заключением нового договора (решено на комиссии от 19.05.2007). Претензию и иск не направлять (распоряжение В.А.Шевчука от 20.09.2007)",,,,,,,0.0000,0.0000,,,,,,,,,,,,309,3545
,"05/10/07 00:00:00",,"Претензия","05/19/07 00:00:00","№16-03-1315/7","А40-33647/07-11-316","Селиванова Е.А.","07/05/07 00:00:00","Исходящий","Москомнаследие","ООО ""Научторгцентр""",,"Расторгнуть, выселить","О расторжении договора и выселении (строение 2)",0.0000,0.0000,,,"10/03/07 00:00:00","13:00:00","отказ от иска",,,0.0000,0.0000,,,,,,,,,,,,310,3546
,"05/20/07 00:00:00",,"Уведомление","06/01/07 00:00:00","№16-03-11626/7",,"Гавриленко Б.Б.",,,,"ООО инвалидов ""Помощь и милосердие""",,,,0.0000,0.0000,,,,,,,,0.0000,0.0000,,,,,,,,,,,,311,3436
,"05/20/07 00:00:00",,"Уведомление","05/30/07 00:00:00","№16-03-1614/7",,"Гавриленко Б.Б.",,,,"Московский государственный университет технологий и управления",,,,0.0000,0.0000,,,,,,,,0.0000,0.0000,,,,,,,,,,,,312,3436
"Шевчук В.А.","05/15/07 00:00:00",,"Претензия","06/14/07 00:00:00","№16-02-430/7-(10)","А40-59357/07-77-521","Селиванова Е.А.","10/23/07 00:00:00","Исходящий","Москомнаследие","ООО ""Газнефтеинжиниринг""",,"Расторгнуть, выселить","Расторжение договора и выселение",0.0000,0.0000,"Апелляция. Кассация",,"05/15/08 00:00:00","9:30:00","решение в силе: в иске отказано","Отказ в Исковых требованиях","01/18/08 00:00:00",0.0000,0.0000,,,"Решение в силе (18.03.08)","Решение в силе (15.05.2008)",,,,,,,,313,3440
,"05/10/07 00:00:00",,"Претензия","06/19/07 00:00:00","№16-03-1703/7","А40-7825/08-60-45","Рутто Д.Р.","01/28/08 00:00:00","Исходящий","Москомнаследие","Союз общественных ""Международная ассоциация фондов мира""",,"Расторгнуть, выселить","Расторжение договора аренды и выселение",0.0000,0.0000,,,"07/09/08 00:00:00","10:15:00","в иске отказано","Отказ в Исковых требованиях","07/16/08 00:00:00",0.0000,0.0000,,,,,,,,,,,,314,3547
,"06/10/07 00:00:00",,"Уведомление","06/14/07 00:00:00","№16-03-1663/7",,"Титова А.В.",,,,"ФГУП ""Центр гигиены в эпидемиологии в городе Москве"" Филиал ""Центр гигиены и эпидемиологии в ЦАО",,,,0.0000,0.0000,,,,,,,,0.0000,0.0000,,,,,,,,,,,,315,3403
,"06/10/07 00:00:00",,"Претензия","05/18/07 00:00:00","№16-03-1314/7","А40-37146/07-91-343","Титова А.В.","07/26/07 00:00:00","Входящий","ООО ""СпецСтройПроект""","Москомнаследие",,"Иное...","Признание недействительным уведомления о расторжении охранно-арендного договора",0.0000,0.0000,"Направлено повторное уведомление о рассторжении от 22.06.2007 №16-03-1314/7-1. Апелляция. Кассация.",,"01/15/08 00:00:00","10:00:00","Решение отменить, в иске отказать.","Иное...","10/02/07 00:00:00",0.0000,0.0000,,,"Решение в силе (12.11.07)","Решение отменено.В иске отказано (22.01.08)",,,,,,,,316,3548
,"05/10/07 00:00:00",,,"06/19/07 00:00:00","№16-03-1703/7",,"Рутто Д.Р.",,,,"Союз общественных ""Международная ассоциация фондов мира""",,,,0.0000,0.0000,,,,,,,,0.0000,0.0000,,,,,,,,,,,,317,3549
,,,,,,,,,,,"ООО ""Фирма АР,СС""",,,,0.0000,0.0000,,,,,,,,0.0000,0.0000,,,,,,,,,,,,318,3550
,,,,,,,,,,,,,,,0.0000,0.0000,,,,,,,,0.0000,0.0000,,,,,,,,,,,,319,3504
,,,,,,"А40-26932/07-89-134","Рутто Д.Р.","07/05/07 00:00:00","Входящий","ЗАО ""Лизингбизнессервис""","ООО ""Флора-Сказ""","Москомнаследие","Выселить"," выселение",0.0000,0.0000,,,"08/23/07 00:00:00","15:30:00","в удовлетворении иска отказать","Иное...","08/29/07 00:00:00",0.0000,0.0000,,,,,,,,,,,,320,3551
,,,,,,"А40-29838/07-9-242","Рутто Д.Р.","06/22/07 00:00:00","Входящий","Префектура САО г. Москвы","ООО ""М.Э.Н.С.-1""","Москомнаследие, ДЗР г. Москвы, Департамент природопользования и охраны окружающей среды г. Москвы","Иное...","О сносе временного некапитального строения",0.0000,0.0000,"приостановлено. В иске отказать. Апелляция. Приостановлено.Возобновлено. Кассация",,"08/05/08 00:00:00","17:30:00","решение в силе: в иске отказано","Иное...","11/20/07 00:00:00",0.0000,0.0000,,,"Решение в силе (24.04.08)","Решение в силе (12.08.08)",,,,,,,,321,3552
,,,,,,"А40-49482/03-85-524","Титова А.В.","01/01/03 00:00:00","Исходящий","Москомнаследие","ЗАО «Дирекция выставок и аукционов Министерства куль-ры»",,"Выселить","О выселении",0.0000,0.0000,"Апелляция.Обжалование определения.",,"09/19/07 00:00:00","11:15:00","решение АС от 05.05.2004 в силе.Производство по делу прекращено в связи  с отказом от апелляционной жалобы ответчика.","Выселить","08/09/07 00:00:00",0.0000,0.0000,,,,"решение в силе (09.08.07)",,,,,,,,322,3426
,,,,,,"А40-17268/07-121-150","Титова А.В.","07/03/07 00:00:00","Входящий","ФГУК ""Государственный академический театр классического балета под руководством Касаткиной и Василева","Правительство города Москвы","Москомнаследие, ДЗР г. Москвы, ФАУФИ","Иное...","О признании недействительным Постановления Правительства г. Москвы № 959-ПП от 12.12.2006",0.0000,0.0000,"Апелляция: решение в силе (12.12.2007). Кассация: судебные акты отменены, дело направлено на новое рассмотрение (07.04.08). Апелляция. Кассация.",,"03/10/09 00:00:00","14:15:00","Решение в силе: в иске отказано","Иное...","08/04/08 00:00:00",0.0000,0.0000,,,"Решение в силе (21.10.2008)","Решение и постановление  в силе (20.03.09)",,,,,,,,323,3457
,,,,,,"А40-33029/07-91-294","Гавриленко Б.Б.","07/04/07 00:00:00","Исходящий","Москомнаследие","НП ""Клиника святой Елизаветы""","Православная религиозная организация Марфо-Марьинская Обитель милосердия московской епархии Русской Православной Церкви (Московский Патриархат)","Выселить","Выселение",0.0000,0.0000,"Апелляция. Кассация. Клиника подала заявление о пересмотре по вновь открывшимся обстоятельствам.Заявление клиники о приостановлении исполнения решения (отказано). Определением от 16.06.2008 в удовлетворении заявления о пересмотре дела по вновь открывшимся обстоятельствам отказано. Апелляция: постановлением от 21.08.2008 определение оставлено в силе. Кассация: постановлением от 26.12.2008 определение и постановление оставлено в силе.",,"12/18/08 00:00:00","10:00:00","иск удовлетворен","Выселить","10/12/07 00:00:00",0.0000,0.0000,,,"Решение в силе (14.01.2008)","Решение в силе (24.04.08)",,,,,,,,324,3553
,,,,,,,,"11/30/07 00:00:00","Входящий","Комитет государственного строительного надзора города Москвы, Префектура ЦАО","Рогожин А.С.","Москомнаследие, ДЗР, Москомархитектура","Иное...","Снос самовольной постройки",0.0000,0.0000,,,"02/11/08 00:00:00","15:30:00",,,,0.0000,0.0000,,,,,,,,,,,,325,3554
,,,,,,,,,,,,,,,0.0000,0.0000,,,,,,,,0.0000,0.0000,,,,,,,,,,,,326,3554
,,,,,,"А40-42458/07-119-144","Гавриленко Б.Б.","07/26/07 00:00:00","Исходящий","Москомнаследие","УФРС по Москве",,"Иное...","Оспаривание решений госоргана о признании недействительными отказов в госрегистрации и внесения изменений в ЕГРП о праве постоянного (бессрочного) пользования земельными участками",0.0000,0.0000,,,"10/18/07 00:00:00","11:30:00","Признать отказ недействительным. Обязать внести изменения в ЕГРП.","Иное...","10/22/07 00:00:00",0.0000,0.0000,,,,,,,,,,,,328,3556
,,,"Претензия","01/19/07 00:00:00","№ 16-03-79/7","А40-40719/07-59-319","Рутто Д.Р.","08/07/07 00:00:00","Исходящий","Москомнаследие","ООО ""Агентство ПРИВАТ""",,"Расторгнуть, выселить","Расторжение охранно-арендного договора и  выселение",0.0000,0.0000,"Подано встречное исковое заявление о бездействии                    Москомнаследия. Апелляция. Кассация (на новое рассмотрение во II инстанции).Апелляция. Кассация.",,"03/12/09 00:00:00","15:00:00","Иск удовлетворен. Во встречном иске отказано (решение отменено, в иске отказано)","Расторгнуть, выселить","01/24/08 00:00:00",0.0000,0.0000,,,"В иске отказано, во встречном иске отказано (04.12.08)","Постановление II инстанции в силе (19.03.2009)",,,,,,,,329,3506
,,,,,,"А40-27157/07-43-251","Рутто Д.Р.","05/10/07 00:00:00","Входящий","ООО ""Перловы и Ко""","ООО ""Инвестиционный холдинг Финнам""","Москомнаследие","Взыскать","Взыскание 4391338 руб. 01 коп.",4391338.0100,0.0000,"Мировое соглашение",,"10/05/07 00:00:00","13:00:00","поизводство прекращено в связи с заключением мирового соглашения.Мировое соглашение",,,0.0000,0.0000,,,,,,,,,,,,330,3557
,,,,,,"А40-68165/07-52-628","Титова А.В.","12/27/07 00:00:00","Входящий","ФГУК ""АУИПИК""","Правительство Москвы, Москомнаследие","УФРС по Москве","Собственность РФ","Признание недействительным зарегистрированного права собственности Москвы и оперативного управления Москомнаследия",0.0000,,"Определение АС от 10.04.2009 об исправлении опечатки. Кассация- в силе.",,"06/09/09 00:00:00","12:00:00","в иске отказано","Собственность Москвы","03/06/09 00:00:00",0.0000,0.0000,"Решение 04.04.2008: иск удовлетворен, собственность РФ. Апелляция 24.07.2008: решение в силе. Кассация 05.11.2008: судебные акты отменены, дело на новое рассмотрение.",,,"Решение   (с учетом определения от 10.04.2009 об исправлении опечатки) в силе (16.06.2009)",,,,,,,,331,3558
,,,,,,"А40-19965/07-72-111","Спиридонов А.А.",,"Входящий","ООО ""ТриЭй и Ко""","Правительство Москвы, Префект ЦАО, Департамент земельных ресурсов г. Москвы","Москомнаследие, ТОРЗ ЦО г. Москвы","Иное...","признание недействительным распоряжения от 31.01.07. № 650-р",0.0000,0.0000,,,"09/11/07 00:00:00","16:00:00","в иске отказать","Иное...","09/18/07 00:00:00",0.0000,0.0000,,,,,,,,,,,,332,3559
,,,,,,"А40-850/03-64-9","Титова А.В.",,"Входящий","ООО инвалидов ""Помощь и милосердие""","МОО ""Институт проблем приватизации и отношений собственности"", ГУ ""Агенство по управлению и использованию памятников истории и культуры""","Москомнаследие, ДИгМ, Минимущество, Минкультуры","Выселить","о признании недействительным договора и выселении",0.0000,0.0000,,,"10/09/07 00:00:00","12:30:00","отказ от иска. Дело прекращено.",,,0.0000,0.0000,,,,,,,,,,,,333,3436
,,,,,,,,,,,,,,,0.0000,0.0000,,,,,,,,0.0000,0.0000,,,,,,,,,,,,334,3436
,,,"Претензия","08/15/07 00:00:00","№ 16-02-679/7-(2)",,"Гавриленко Б.Б.",,,,,,,,0.0000,0.0000,,,,,,,,0.0000,0.0000,,,,,,,,,,,,335,3560
,,,"Уведомление","08/15/07 00:00:00","№ 16-03-711/7-(2)",,"Селиванова Е.А.",,,,"Московская ассоциация кадровых служб",,,,0.0000,0.0000,,,,,,,,0.0000,0.0000,,,,,,,,,,,,336,3403
